;language:;French;;;;;;;;;;;;;;;;;;;;;;;
;corpus:;French Web 2012;;;;;;;;;;;;;;;;;;;;;;;
;word form;frequence;;;;;;;;;;;;;;;;;;;;;;;
164;former;7855;0,005253752;;;;;;;;;;;;;;;;;;;;;;
165;protéger;7813;0,005225661;;;;;;;;;;;;;;;;;;;;;;
166;charger;7777;0,005201582;;;;;;;;;;;;;;;;;;;;;;
167;marquer;7761;0,005190881;;;;;;;;;;;;;;;;;;;;;;
168;battre;7757;0,005188205;;;;;;;;;;;;;;;;;;;;;;
169;avancer;7666;0,005127341;;;;;;;;;;;;;;;;;;;;;;
170;tuer;7624;0,005099249;;;;;;;;;;;;;;;;;;;;;;
171;appliquer;7621;0,005097243;;;;;;;;;;;;;;;;;;;;;;
172;fonctionner;7611;0,005090554;;;;;;;;;;;;;;;;;;;;;;
173;rentrer;7604;0,005085873;;;;;;;;;;;;;;;;;;;;;;
174;composer;7503;0,00501832;;;;;;;;;;;;;;;;;;;;;;
175;rejoindre;7463;0,004991566;;;;;;;;;;;;;;;;;;;;;;
176;inviter;7404;0,004952104;;;;;;;;;;;;;;;;;;;;;;
177;poursuivre;7339;0,00490863;;;;;;;;;;;;;;;;;;;;;;
178;cacher;7320;0,004895922;;;;;;;;;;;;;;;;;;;;;;
179;affirmer;7296;0,004879869;;;;;;;;;;;;;;;;;;;;;;
180;rechercher;7277;0,004867161;;;;;;;;;;;;;;;;;;;;;;
181;retourner;7276;0,004866493;;;;;;;;;;;;;;;;;;;;;;
182;refuser;7269;0,004861811;;;;;;;;;;;;;;;;;;;;;;
183;diriger;7263;0,004857798;;;;;;;;;;;;;;;;;;;;;;
184;respecter;7229;0,004835057;;;;;;;;;;;;;;;;;;;;;;
185;estimer;7216;0,004826362;;;;;;;;;;;;;;;;;;;;;;
186;relever;7185;0,004805628;;;;;;;;;;;;;;;;;;;;;;
187;limiter;7154;0,004784894;;;;;;;;;;;;;;;;;;;;;;
188;imaginer;7129;0,004768173;;;;;;;;;;;;;;;;;;;;;;
189;exprimer;7090;0,004742088;;;;;;;;;;;;;;;;;;;;;;
190;fixer;7034;0,004704633;;;;;;;;;;;;;;;;;;;;;;
191;confirmer;7017;0,004693262;;;;;;;;;;;;;;;;;;;;;;
192;révéler;6981;0,004669184;;;;;;;;;;;;;;;;;;;;;;
193;signifier;6841;0,004575546;;;;;;;;;;;;;;;;;;;;;;
194;lever;6832;0,004569527;;;;;;;;;;;;;;;;;;;;;;
195;maintenir;6824;0,004564176;;;;;;;;;;;;;;;;;;;;;;
196;observer;6820;0,004561501;;;;;;;;;;;;;;;;;;;;;;
197;gérer;6813;0,004556819;;;;;;;;;;;;;;;;;;;;;;
198;baser;6763;0,004523377;;;;;;;;;;;;;;;;;;;;;;
199;pousser;6728;0,004499967;;;;;;;;;;;;;;;;;;;;;;
200;intégrer;6695;0,004477895;;;;;;;;;;;;;;;;;;;;;;
;;;0;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
