;language:;French;;;;;;;;;;;;;;;;;;;;;;;
;corpus:;French Web 2012;;;;;;;;;;;;;;;;;;;;;;;
;word form;frequence;;;;;;;;;;;;;;;;;;;;;;;
167;corticostÇro?des;4 008;0,031426914;;;;;;;;;;;;;;;;;;;;;;
168;lo?s;4 005;0,03140339;;;;;;;;;;;;;;;;;;;;;;
169;ka?;3 953;0,030995656;;;;;;;;;;;;;;;;;;;;;;
170;pa?s;3 907;0,030634968;;;;;;;;;;;;;;;;;;;;;;
171;prosa?quement;3 906;0,030627127;;;;;;;;;;;;;;;;;;;;;;
172;Ma?ga;3 834;0,030062572;;;;;;;;;;;;;;;;;;;;;;
173;Ma?tÇ;3 816;0,029921433;;;;;;;;;;;;;;;;;;;;;;
174;ca?man;3 810;0,029874386;;;;;;;;;;;;;;;;;;;;;;
175;dro?de;3 775;0,02959995;;;;;;;;;;;;;;;;;;;;;;
176;inou?es;3 731;0,029254944;;;;;;;;;;;;;;;;;;;;;;
177;ha?s;3 681;0,028862891;;;;;;;;;;;;;;;;;;;;;;
178;kuna?;3 672;0,028792322;;;;;;;;;;;;;;;;;;;;;;
179;Ihvh-adona?;3 657;0,028674706;;;;;;;;;;;;;;;;;;;;;;
180;ba?onnettes;3 616;0,028353223;;;;;;;;;;;;;;;;;;;;;;
181;a?eule;3 594;0,02818072;;;;;;;;;;;;;;;;;;;;;;
182;Ke?ta;3 512;0,027537755;;;;;;;;;;;;;;;;;;;;;;
183;A?ssa;3 501;0,027451503;;;;;;;;;;;;;;;;;;;;;;
184;cama?eu;3 468;0,027192749;;;;;;;;;;;;;;;;;;;;;;
185;Alexe?;3 457;0,027106497;;;;;;;;;;;;;;;;;;;;;;
186;Elo?se;3 435;0,026933994;;;;;;;;;;;;;;;;;;;;;;
187;opio?des;3 384;0,026534101;;;;;;;;;;;;;;;;;;;;;;
188;Ba?kal;3 372;0,026440008;;;;;;;;;;;;;;;;;;;;;;
189;Alta?r;3 356;0,026314551;;;;;;;;;;;;;;;;;;;;;;
190;thyro?diennes;3 352;0,026283187;;;;;;;;;;;;;;;;;;;;;;
191;Le?a;3 341;0,026196936;;;;;;;;;;;;;;;;;;;;;;
192;dro?des;3 309;0,025946022;;;;;;;;;;;;;;;;;;;;;;
193;ta?ga;3 280;0,025718632;;;;;;;;;;;;;;;;;;;;;;
194;exigu?tÇ;3 277;0,025695109;;;;;;;;;;;;;;;;;;;;;;
195;co?ncidant;3 258;0,025546129;;;;;;;;;;;;;;;;;;;;;;
196;la?us;3 241;0,025412831;;;;;;;;;;;;;;;;;;;;;;
197;hÇro?quement;3 240;0,02540499;;;;;;;;;;;;;;;;;;;;;;
198;Çgo?smes;3 231;0,025334421;;;;;;;;;;;;;;;;;;;;;;
199;Ephra?m;3 226;0,025295215;;;;;;;;;;;;;;;;;;;;;;
200;hyperthyro?die;3 170;0,024856117;;;;;;;;;;;;;;;;;;;;;;
201;azerba?djanais;3 128;0,024526793;;;;;;;;;;;;;;;;;;;;;;
202;ca?mans;3 128;0,024526793;;;;;;;;;;;;;;;;;;;;;;
203;Shanga?;3 119;0,024456223;;;;;;;;;;;;;;;;;;;;;;
204;carotÇno?des;3 113;0,024409177;;;;;;;;;;;;;;;;;;;;;;
205;ma?monide;3 060;0,023993602;;;;;;;;;;;;;;;;;;;;;;
206;la?cisation;3 008;0,023585867;;;;;;;;;;;;;;;;;;;;;;
207;tha?landaises;2 993;0,023468252;;;;;;;;;;;;;;;;;;;;;;
208;gona?ves;2 975;0,023327113;;;;;;;;;;;;;;;;;;;;;;
209;sa?;2 932;0,022989948;;;;;;;;;;;;;;;;;;;;;;
210;co?ncidait;2 924;0,022927219;;;;;;;;;;;;;;;;;;;;;;
211;tao?stes;2 918;0,022880173;;;;;;;;;;;;;;;;;;;;;;
212;Ha?m;2 883;0,022605737;;;;;;;;;;;;;;;;;;;;;;
213;thyro?dienne;2 814;0,022064704;;;;;;;;;;;;;;;;;;;;;;
214;ou?-dire;2 756;0,021609924;;;;;;;;;;;;;;;;;;;;;;
215;ghetto?sation;2 747;0,021539354;;;;;;;;;;;;;;;;;;;;;;
216;stÇro?diens;2 737;0,021460944;;;;;;;;;;;;;;;;;;;;;;
217;êphra?m;2 713;0,021272759;;;;;;;;;;;;;;;;;;;;;;
218;chou?a;2 712;0,021264918;;;;;;;;;;;;;;;;;;;;;;
219;ovo?de;2 709;0,021241394;;;;;;;;;;;;;;;;;;;;;;
220;Adona?;2 681;0,021021845;;;;;;;;;;;;;;;;;;;;;;
221;jama?caine;2 680;0,021014004;;;;;;;;;;;;;;;;;;;;;;
222;Gharda?a;2 672;0,020951276;;;;;;;;;;;;;;;;;;;;;;
223;alcalo?des;2 667;0,020912071;;;;;;;;;;;;;;;;;;;;;;
224;tha?e;2 625;0,020582747;;;;;;;;;;;;;;;;;;;;;;
